Year,Non English,Total,English,Mix
2019,7,41,26,9
2018,12,43,26,6
2017,3,42,35,5
2016,3,42,33,6
2015,6,40,33,1
2014,2,37,28,7
2013,16,39,23,3
2012,12,42,20,12
2011,6,43,26,10
2010,13,39,23,5
2009,11,42,21,11
2008,16,43,19,12
2007,8,42,19,15
2006,8,37,20,10
2005,11,39,22,7
2004,9,36,24,5
2003,5,26,15,7
2002,4,24,15,5
2001,3,23,14,6
2000,6,24,13,6
1999,9,23,12,3
1998,22,25,3,0
1997,19,25,3,3
1996,20,23,3,0
1995,20,23,3,0
1994,20,25,3,2
1993,20,25,3,4
1992,19,23,3,3
1991,17,22,3,2
1990,16,22,2,5
1989,19,22,2,2
1988,17,21,2,2
1987,19,22,2,1
1986,16,20,2,2
1985,15,19,2,4
1984,16,19,2,4
1983,17,20,1,3
1982,16,18,2,1
1981,16,20,2,3
1980,17,19,2,2
1979,17,19,2,0
1978,17,20,2,2
1977,14,18,4,3
1976,9,18,7,2
1975,10,19,7,2
1974,12,17,6,1
1973,10,17,4,2
1972,16,18,1,1
1971,16,18,2,0
1970,9,12,2,1
1969,14,16,2,2
1968,15,17,2,0
1967,15,17,2,0
1966,15,18,2,2
1965,15,18,3,0
1964,14,16,1,1
1963,14,16,1,1
1962,15,16,1,0
1961,15,16,1,1
1960,12,13,1,2
1959,10,11,1,0
1958,10,10,0,1
1957,8,10,1,1
1956,14,14,0,0
